Lesson,Front,Back,Example,Translation
e00-l3,Zukunftsplan,plans for the future,Hast du schon Zukunftspläne?,Do you already have plans for the future?
e00-l3,Firma,company,Er arbeitet für eine große Firma.,He works for a big company.
e00-l3,Intensivkurs,intensive course,Sie besucht einen Intensivkurs in Deutsch.,She is attending an intensive course in German.
e00-l3,Integration,integration,Die Integration von Migranten ist wichtig.,The integration of migrants is important.
e00-l3,Biologie,biology,Biologie war mein Lieblingsfach in der Schule.,Biology was my favorite subject in school.
e00-l3,Angst haben,to be afraid,Ich habe Angst vor der Prüfung.,I am afraid of the exam.
e00-l3,Arbeitserlaubnis,work permit,"Er braucht eine Arbeitserlaubnis, um hier zu arbeiten.",He needs a work permit to work here.
e00-l4,Was ist mit …?,What about ...?/What's up with ...?,Was ist mit deinem Bruder?,What about your brother?
e00-l4,einen Kurs besuchen,to take a course,Sie besucht einen Deutschkurs.,She is taking a German course.
e00-l4,Schiff,ship,Das Schiff fährt nach Griechenland.,The ship is sailing to Greece.
e00-l4,Es interessiert mich...,I am interested (in)...,"Es interessiert mich, wie das funktioniert.",I am interested in how that works.
e00-l4,Grammatik,grammar,Die Grammatik der deutschen Sprache ist komplex.,The grammar of the German language is complex.
e00-l4,Gruß,greeting,Er schickte einen freundlichen Gruß.,He sent a friendly greeting.
e00-l4,König,king,Der König regierte das Land viele Jahre.,The king ruled the country for many years.
e00-l4,Dialekt,dialect,In Bayern spricht man einen besonderen Dialekt.,"In Bavaria, people speak a special dialect."
e00-l4,Sehr geehrte Damen und Herren,Dear Sir or Madam,"Sehr geehrte Damen und Herren, vielen Dank für Ihre Hilfe.","Dear Sir or Madam, thank you for your help."
e00-l4,etwas vereinbaren,to agree on something; to arrange something,Wir müssen einen Termin vereinbaren.,We need to arrange an appointment.
e00-l4,etwas nachsehen,to have a look; to check; to look up something,Kannst du das Wort im Wörterbuch nachsehen?,Can you look up the word in the dictionary?
e00-l4,"Können Sie mir vielleicht sagen, wo der Bahnhof ist?",Could you perhaps tell me where the train station is?,"Können Sie mir vielleicht sagen, wo der Bahnhof ist?",Could you perhaps tell me where the train station is?
e00-l4,selbst,self; oneself,Ich habe das selbst gemacht.,I did it myself.
e00-l4,Ich möchte gerne wissen ...,I would like to know…,"Ich möchte gerne wissen, wann der Zug abfährt.",I would like to know when the train departs.
e00-l4,"Wissen Sie vielleicht, wo der Bahnhof ist?",Do you perhaps know where the train station is?,"Wissen Sie vielleicht, wo der Bahnhof ist?",Do you perhaps know where the train station is?
e00-l4,Königin,queen,Die Königin besuchte das Krankenhaus.,The queen visited the hospital.
e00-l4,Aussprache,pronunciation,Deine Aussprache ist sehr gut.,Your pronunciation is very good.
e00-l4,Sorge,worry; concern,"Mach dir keine Sorgen, alles wird gut.","Don’t worry, everything will be fine."
e00-l4,etwas verbessern,to correct; to improve,Er möchte seine Deutschkenntnisse verbessern.,He wants to improve his German skills.
e00-l4,bestimmt,definitely; certainly,Er kommt bestimmt morgen.,He will definitely come tomorrow.
e00-l4,Das reicht nicht.,That isn't enough.,"Das reicht nicht, um das Problem zu lösen.",That isn't enough to solve the problem.
e01-l1,deshalb,hence; that is why,"Ich bin müde, deshalb gehe ich früh ins Bett.","I am tired, that is why I am going to bed early."
e01-l1,Gespräch,conversation,Wir hatten ein langes Gespräch.,We had a long conversation.
e01-l1,sicher,certainly; surely,Er kommt sicher morgen.,He will certainly come tomorrow.
e01-l1,Girokonto,current account; checking account,Ich habe ein Girokonto bei der Bank.,I have a current account at the bank.
e01-l1,sich anmelden,to register for something,Ich muss mich für den Kurs anmelden.,I need to register for the course.
e01-l1,Bescheinigung,certificate,Ich brauche eine Bescheinigung für die Arbeit.,I need a certificate for work.
e01-l1,sparen,to save (some money),Ich spare für ein neues Auto.,I am saving for a new car.
e01-l1,etwas ausgeben,to spend,Sie gibt viel Geld für Kleidung aus.,She spends a lot of money on clothes.
e01-l1,dankbar,thankful,Ich bin dankbar für deine Hilfe.,I am thankful for your help.
e01-l1,Sparkonto,savings account,Er hat ein Sparkonto bei der Bank.,He has a savings account at the bank.
e01-l1,etwas zurücklegen,to save; to set aside,Ich lege jeden Monat etwas Geld zurück.,I save some money every month.
e01-l1,To-do-Liste,to-do list,Ich habe eine lange To-do-Liste.,I have a long to-do list.
e01-l1,EU-Bürgerin,EU citizen (female),Sie ist eine EU-Bürgerin und lebt in Frankreich.,She is an EU citizen and lives in France.
e01-l1,erleichtert,relieved,"Sie war erleichtert, als sie die Prüfung bestand.",She was relieved when she passed the exam.
e01-l1,Einwohnermeldeamt,(residency) registration office,Ich muss zum Einwohnermeldeamt gehen.,I need to go to the registration office.
e01-l1,Wirklich?,Really?,Wirklich? Das ist unglaublich!,Really? That’s unbelievable!
e01-l1,Konto,account,Er hat ein neues Konto eröffnet.,He opened a new account.
e01-l1,Ausländer,foreigner (male),Der Ausländer sucht Arbeit in Deutschland.,The foreigner is looking for work in Germany.
e01-l1,Ausländerin,foreigner (female),Die Ausländerin lernt Deutsch.,The foreigner is learning German.
e01-l1,Geldschein,banknote,Ich habe einen Geldschein verloren.,I lost a banknote.
e01-l1,sich freuen,to be pleased; to be glad,Ich freue mich auf das Wochenende.,I am looking forward to the weekend.
e01-l1,Münze,coin,Ich habe eine Münze gefunden.,I found a coin.
e01-l1,geizig,thrifty; miserly,Er ist sehr geizig und gibt kaum Geld aus.,He is very thrifty and hardly spends any money.
e01-l1,Meldebescheinigung,certification of registration,Ich brauche eine Meldebescheinigung für die Arbeit.,I need a certification of registration for work.
e01-l1,etwas eröffnen,to open up something (often for the first time),Er möchte ein neues Konto eröffnen.,He wants to open a new account.
e01-l1,sauer (auf jemanden),mad/angry (at someone),Sie ist sauer auf ihren Bruder.,She is mad at her brother.
e01-l1,Basiskonto,basic bank account,Er hat ein Basiskonto eröffnet.,He opened a basic bank account.
e01-l1,EU-Bürger,EU citizen (male),Er ist ein EU-Bürger und kann in Deutschland arbeiten.,He is an EU citizen and can work in Germany.
e01-l2,auf jeden Fall,in any case; definitely,Ich komme auf jeden Fall zur Party.,I will definitely come to the party.
e01-l2,etwas/jemanden meinen,to mean something,Was meinst du damit?,What do you mean by that?
e01-l2,festes Einkommen,secure income,Er hat ein festes Einkommen.,He has a secure income.
e01-l2,Nationalität,nationality,Was ist Ihre Nationalität?,What is your nationality?
e01-l2,Einkommen,income,Sein Einkommen ist nicht sehr hoch.,His income is not very high.
e01-l2,per,via,Ich habe die Unterlagen per Post geschickt.,I sent the documents via post.
e01-l2,jemandem etwas leihen,to lend somebody something,Kannst du mir dein Buch leihen?,Can you lend me your book?
e01-l2,PIN-Nummer,PIN (Personal Identification Number),Ich habe meine PIN-Nummer vergessen.,I forgot my PIN number.
e01-l2,Geschlecht,gender,Was ist Ihr Geschlecht?,What is your gender?
e01-l2,nachfragen,to inquire,Ich werde noch einmal nachfragen.,I will inquire again.
e01-l2,Kreditkarte,credit card,Ich habe meine Kreditkarte verloren.,I lost my credit card.
e01-l2,Kredit,loan; credit,Er hat einen Kredit bei der Bank aufgenommen.,He took out a loan from the bank.
e01-l2,Vorgesetzte,superior (female),Die Vorgesetzte hat das Projekt genehmigt.,The superior approved the project.
e01-l2,Formular,form,Bitte füllen Sie dieses Formular aus.,Please fill out this form.
e01-l2,Vorgesetzter,superior (male),Mein Vorgesetzter ist sehr zufrieden mit meiner Arbeit.,My superior is very satisfied with my work.
e01-l2,Geburtsdatum,birthdate,Was ist dein Geburtsdatum?,What is your birthdate?
e01-l2,Geburtsort,place of birth,Mein Geburtsort ist Berlin.,My place of birth is Berlin.
e01-l2,etwas abheben,to withdraw something,Ich muss Geld am Bankautomaten abheben.,I need to withdraw money from the ATM.
e01-l2,Geheimzahl,PIN number,Bitte geben Sie Ihre Geheimzahl ein.,Please enter your PIN number.
e01-l2,etwas ausfüllen,"to fill out something (i.e., a form)",Bitte füllen Sie das Formular aus.,Please fill out the form.
e01-l2,Bankangestellte,bank clerk (female),Die Bankangestellte hat das Konto eröffnet.,The bank clerk opened the account.
e01-l2,Bankangestellter,bank clerk (male),Der Bankangestellte hat mir geholfen.,The bank clerk helped me.
e01-l2,Gebühr,fee,Die Gebühr für die Überweisung beträgt 5 Euro.,The fee for the transfer is 5 euros.
e01-l2,Bankräuber,bank thief (male),Der Bankräuber wurde verhaftet.,The bank thief was arrested.
e01-l2,Girocard,debit card,Ich bezahle mit meiner Girocard.,I pay with my debit card.
e01-l2,etwas überziehen,here: to overdraw,Das Konto wurde überzogen.,The account was overdrawn.
e01-l2,Bankautomat,automated teller machine (ATM); cash machine,"Ich gehe zum Bankautomaten, um Geld abzuheben.",I am going to the ATM to withdraw money.
e01-l2,Familienstand,marital status,Was ist Ihr Familienstand?,What is your marital status?
e01-l2,Geldautomat,Automated Teller Machine (ATM); cash machine,Der Geldautomat ist außer Betrieb.,The ATM is out of order.
e01-l2,Anmeldung,registration,Die Anmeldung für den Kurs ist abgeschlossen.,The registration for the course is complete.
e01-l2,Bankräuberin,bank thief (female),Die Bankräuberin ist geflohen.,The bank thief fled.
e01-l2,Bargeld,cash,Ich bezahle lieber mit Bargeld.,I prefer to pay with cash.
e01-l3,Überweisung,bank transfer,Die Überweisung ist angekommen.,The bank transfer has arrived.
e01-l3,Erinnerung,reminder,Ich habe eine Erinnerung für den Arzttermin.,I have a reminder for the doctor's appointment.
e01-l3,im Minus sein,to be in the minus; to be in the red,Mein Konto ist im Minus.,My account is in the red.
e01-l3,schauen,to look,"Schau mal, was ich gefunden habe!",Look what I found!
e01-l3,eingehen,to enter or apply,Die Bewerbung ist eingegangen.,The application has been received.
e01-l3,Licht,light,Das Licht ist aus.,The light is off.
e01-l3,Empfängerin,recipient; receiver (female),Die Empfängerin hat das Paket angenommen.,The recipient accepted the package.
e01-l3,Vermieterin,landlord (female),Die Vermieterin ist sehr freundlich.,The landlord is very friendly.
e01-l3,etwas einrichten,to set something up,Ich habe ein neues Konto eingerichtet.,I set up a new account.
e01-l3,Gas,gas,Das Gas wird monatlich abgerechnet.,The gas is billed monthly.
e01-l3,auf etwas/jemanden achten,to pay attention to something/somebody,Achte auf die Details.,Pay attention to the details.
e01-l3,rechnen,to calculate; arithmetic,Ich rechne die Kosten aus.,I calculate the costs.
e01-l3,Rate,installment,Ich zahle die Rate nächsten Monat.,I will pay the installment next month.
e01-l3,etwas eingeben,to enter something (as in a password),Bitte geben Sie Ihre PIN ein.,Please enter your PIN.
e01-l3,abgehen,to be deducted,Der Betrag geht nächste Woche ab.,The amount will be deducted next week.
e01-l3,Zahlung,payment,Die Zahlung ist fällig.,The payment is due.
e01-l3,im Plus sein,to be in the black; to be in the plus range,Sein Konto ist im Plus.,His account is in the black.
e01-l3,Empfänger,recipient (male),Der Empfänger hat die Überweisung erhalten.,The recipient received the transfer.
e01-l3,Quittung,receipt; bill,Kann ich eine Quittung haben?,Can I have a receipt?
e01-l3,Vermieter,landlord (male),Der Vermieter hat die Miete erhöht.,The landlord raised the rent.
e01-l3,Betrag,amount,Der Betrag wurde überwiesen.,The amount was transferred.
e01-l3,einen Kredit aufnehmen,"to take out a loan; to borrow (loan, money)",Sie hat einen Kredit aufgenommen.,She took out a loan.
e01-l3,jemandem etwas schicken,to send something to someone,Ich schicke dir eine E-Mail.,I will send you an email.
e01-l3,statt,instead of,Statt Kaffee trinke ich Tee.,"Instead of coffee, I drink tea."
e01-l3,Kontoinhaberin,account holder (female),Die Kontoinhaberin hat das Konto eröffnet.,The account holder opened the account.
e01-l3,jemandem etwas schulden,to owe,Ich schulde dir noch Geld.,I still owe you money.
e01-l3,unten,below; down; downstairs,Die Antwort steht unten.,The answer is below.
e01-l3,etwas bescheinigen,to attest something,Der Arzt bescheinigt die Arbeitsunfähigkeit.,The doctor attests to the inability to work.
e01-l3,Kontostand,account balance,Mein Kontostand ist niedrig.,My account balance is low.
e01-l3,etwas ausschalten,to turn something off,Schalte den Computer aus.,Turn off the computer.
e01-l3,etwas überweisen,to transfer (money),Ich überweise das Geld morgen.,I will transfer the money tomorrow.
e01-l3,Verwendungszweck,use; purpose,Was ist der Verwendungszweck der Überweisung?,What is the purpose of the transfer?
e01-l3,etwas einzahlen,to deposit something,Ich möchte Geld auf mein Konto einzahlen.,I want to deposit money into my account.
e01-l3,etwas abbuchen,to debit or to charge something,Die Gebühren werden automatisch abgebucht.,The fees are automatically debited.
e01-l3,Schulden,debt,Er hat viele Schulden.,He has a lot of debt.
e01-l3,Mahnung,warning; overdue notice,Ich habe eine Mahnung bekommen.,I received an overdue notice.
e01-l3,jemanden an etwas erinnern,to remind someone of something,Kannst du mich an den Termin erinnern?,Can you remind me of the appointment?
e01-l3,Lastschrift,direct debit,Die Lastschrift wurde erfolgreich ausgeführt.,The direct debit was successfully executed.
e01-l3,sich um etwas/jemanden kümmern,to look after/take care of something/somebody,Ich kümmere mich um die Rechnungen.,I take care of the bills.
e01-l3,Dauerauftrag,standing order,Ich habe einen Dauerauftrag für die Miete eingerichtet.,I set up a standing order for the rent.
e01-l3,etwas verbrauchen,to use something up; to consume something,Wir verbrauchen viel Strom.,We use a lot of electricity.
e01-l3,TAN,transaction authentication number,Bitte geben Sie die TAN ein.,Please enter the TAN.
e01-l3,Vorkasse,advanced payment; prepayment,Die Zahlung erfolgt per Vorkasse.,The payment is made in advance.
e01-l3,etwas anlassen,to leave something on; to leave something running,"Lass das Licht an, bitte.","Leave the light on, please."
e01-l3,Kontoinhaber,account holder (male),Der Kontoinhaber hat eine Überweisung getätigt.,The account holder made a transfer.
e01-l3,Art,kind; type; form,Welche Art von Musik magst du?,What kind of music do you like?
e01-l4,Fehlermeldung,error message,Es gab eine Fehlermeldung am Automaten.,There was an error message at the ATM.
e01-l4,Auszahlung,payout; withdrawal,Die Auszahlung erfolgt nächste Woche.,The payout will happen next week.
e01-l4,Automat,vending machine,Ich kaufe mir einen Kaffee am Automaten.,I buy a coffee from the vending machine.
e01-l4,auf etwas tippen,to click on; to tap on,Tippe auf den Bildschirm.,Tap on the screen.
e01-l4,Abbruch,cancellation,Der Abbruch des Projekts war unvermeidlich.,The cancellation of the project was unavoidable.
e01-l4,auf etwas drücken,to press something,Drücke auf den Knopf.,Press the button.
e01-l4,möglich,possible,"Ist es möglich, das heute zu erledigen?",Is it possible to finish that today?
e01-l4,stecken,to stick inside,Steck die Karte in den Automaten.,Insert the card into the ATM.
e01-l4,Bestätigung,confirmation,Ich habe eine Bestätigung per E-Mail erhalten.,I received a confirmation by email.
e01-l4,etwas drucken,to print (something),Kannst du das Dokument drucken?,Can you print the document?
e01-l4,zuletzt,lastly; finally,Zuletzt habe ich meine PIN eingegeben.,"Lastly, I entered my PIN."
e01-l4,etwas/jemanden auswählen,to choose something/somebody; to select something/somebody,Wähle eine Option aus.,Choose an option.
e01-l4,Semester,semester,Das Semester beginnt im Oktober.,The semester starts in October.
e01-l4,Korrektur,correction,Die Korrektur des Fehlers war einfach.,The correction of the error was easy.
e01-l4,herauskommen,to come out,Die Karte kam nicht heraus.,The card didn’t come out.
e01-l4,etwas ausdrucken,to print out something,Ich drucke das Dokument aus.,I am printing out the document.
e01-l4,PIN,PIN (Personal Identification Number),Ich habe meine PIN vergessen.,I forgot my PIN.
e01-l4,Einzahlung,deposit; (in)payment,Die Einzahlung wurde bestätigt.,The deposit was confirmed.
e01-l4,Daten,data (here: information),Die Daten wurden gespeichert.,The data was saved.
e01-l4,Taste,button; key (on a keyboard),Drücke die Taste für 'Enter'.,Press the 'Enter' key.
e01-l4,Kontoauszug,account statement,Ich hole meinen Kontoauszug ab.,I am picking up my account statement.
e02-l1,jemandem zuhören,to listen to someone,Hörst du mir zu?,Are you listening to me?
e02-l1,mit jemandem spielen,to play with somebody,Die Kinder spielen mit dem Ball.,The children are playing with the ball.
e02-l1,bei,here: at,Ich bin bei meinem Sprachkurs.,I am at my language course.
e02-l1,mit,with,Ich gehe mit meinem Freund ins Kino.,I am going to the cinema with my friend.
e02-l1,streng,strict,Der Lehrer ist sehr streng.,The teacher is very strict.
e02-l1,Single,single person,Er ist Single und lebt allein.,He is single and lives alone.
e02-l1,abhauen,to leave; to dip out; to scram,Er ist einfach abgehauen.,He just left.
e02-l1,etwas/jemanden vergessen,to forget something/someone,Ich habe meinen Schlüssel vergessen.,I forgot my key.
e02-l1,erwachsen,grown-up; mature,Er ist erwachsen und kann selbst entscheiden.,He is grown-up and can decide for himself.
e02-l1,außerdem,besides,Außerdem habe ich noch etwas zu erledigen.,"Besides, I still have something to do."
e02-l1,etwas schieben,to push something; to move something,Er schiebt den Tisch zur Seite.,He pushes the table to the side.
e02-l2,am Anfang,first; in the beginning; at the beginning,Am Anfang war alles neu.,"In the beginning, everything was new."
e02-l2,offen,open; open-minded,Er ist sehr offen für neue Ideen.,He is very open to new ideas.
e02-l2,Notiz,note,Ich mache mir eine Notiz.,I am making a note.
e02-l2,Herz,heart,Er hat ein großes Herz.,He has a big heart.
e02-l2,lächeln,to smile,Sie lächelt immer.,She always smiles.
e02-l2,Lied,song,Das Lied ist sehr schön.,The song is very beautiful.
e02-l2,tolerant,tolerant; open-minded,Sie ist sehr tolerant.,She is very tolerant.
e02-l2,etwas übersetzen,to translate something,Kannst du das ins Deutsche übersetzen?,Can you translate that into German?
e02-l2,Wiederholung,repetition,Die Wiederholung ist wichtig.,Repetition is important.
e02-l2,blond,blonde,Sie hat blonde Haare.,She has blonde hair.
e02-l2,Bart,beard,Er hat einen langen Bart.,He has a long beard.
e02-l2,ganz,all the way; completely,Das ist ganz normal.,That is completely normal.
e02-l2,Vorbereitung,preparation,Die Vorbereitung dauert lange.,The preparation takes a long time.
e02-l2,etwas/jemanden beschreiben,to describe something/somebody,Kannst du deinen Bruder beschreiben?,Can you describe your brother?
e02-l3,etwas/jemanden begleiten,"to accompany something/someone, to support something/someone",Ich begleite dich zum Arzt.,I will accompany you to the doctor.
e02-l3,Lupe,magnifying glass,"Sie benutzt eine Lupe, um zu lesen.",She uses a magnifying glass to read.
e02-l3,Rollator,walker; rollator,Sie benutzt einen Rollator.,She uses a walker.
e02-l3,Unterstützung,support; assistance,Ich brauche deine Unterstützung.,I need your support.
e02-l3,Hörgerät,hearing aid,Sie trägt ein Hörgerät.,She wears a hearing aid.
e02-l3,jemanden pflegen,to care for; nurse,Sie pflegt ihren kranken Vater.,She cares for her sick father.
e02-l3,etwas/jemanden unterstützen,to support something/someone,Ich unterstütze dich bei deinem Projekt.,I support you with your project.
e02-l3,Altenpflegerin,geriatric nurse (female),Die Altenpflegerin arbeitet im Pflegeheim.,The geriatric nurse works in the nursing home.
e02-l3,Altenpfleger,geriatric nurse (male),Der Altenpfleger hilft den Senioren.,The geriatric nurse helps the elderly.
e02-l3,Rollstuhl,wheelchair,Er sitzt im Rollstuhl.,He is in a wheelchair.
e02-l3,ambulant,outpatient,Er wird ambulant behandelt.,He is being treated as an outpatient.
e02-l3,rauslaufen,to run out; to leave,"Er ist rausgelaufen, ohne etwas zu sagen.",He ran out without saying anything.
e02-l3,Kreislaufzusammenbruch,fainting; literally: circulatory collapse,Er hatte einen Kreislaufzusammenbruch.,He fainted.
e02-l3,Flüchtlingsheim,refugee home,Das Flüchtlingsheim bietet Unterkunft.,The refugee home provides shelter.
e02-l3,Pflegeheim,nursing home,Meine Oma lebt im Pflegeheim.,My grandmother lives in a nursing home.
e02-l3,Pflegedienst,nursing service; health care service,Der Pflegedienst kommt täglich.,The nursing service comes daily.
e02-l3,Gehstock,walking stick,Er benutzt einen Gehstock.,He uses a walking stick.
e02-l3,ein Medikament nehmen,to take medication,Er nimmt ein Medikament gegen Schmerzen.,He takes medication for pain.
e02-l3,Beschwerden,complaints; symptoms,Er hat Beschwerden im Rücken.,He has back pain.
e02-l4,schwach,weak,Er fühlt sich schwach.,He feels weak.
e02-l4,Rentnerin,retiree; pensioner (female),Die Rentnerin liest gerne Bücher.,The retiree enjoys reading books.
e02-l4,mobil,mobile; portable,Er ist noch sehr mobil.,He is still very mobile.
e02-l4,Rentner,retiree; pensioner (male),Der Rentner geht jeden Tag spazieren.,The retiree goes for a walk every day.
e02-l4,"Oh, Verzeihung!","Oh, Pardon!","Oh, Verzeihung! Das war meine Schuld.","Oh, pardon! That was my fault."
e02-l4,deswegen,that's why; for that reason,"Ich bin müde, deswegen gehe ich früh ins Bett.","I am tired, that's why I am going to bed early."
e02-l4,Energie,energy; power,Ich habe keine Energie mehr.,I have no energy left.
e02-l4,einsam,lonely,Sie fühlt sich einsam.,She feels lonely.
e02-l4,ausgezeichnet,excellent,Das Essen war ausgezeichnet.,The food was excellent.
e02-l4,Grund,reason,Was ist der Grund für deine Verspätung?,What is the reason for your delay?
e02-l4,Altenheim,retirement home,Meine Oma lebt im Altenheim.,My grandmother lives in a retirement home.
e03-l1,leer,empty,Die Flasche ist leer.,The bottle is empty.
e03-l1,etwas/jemanden wegbringen,to take something/someone away,Ich bringe den Müll weg.,I take the trash away.
e03-l1,etwas trocknen,to dry something,Ich trockne die Wäsche.,I dry the laundry.
e03-l1,Staub wischen,to dust; to wipe away dust,Ich wische den Staub vom Regal.,I wipe the dust off the shelf.
e03-l1,etwas fegen,to sweep (something),Ich fege den Boden.,I sweep the floor.
e03-l1,etwas/jemanden rausbringen,to take something/someone out(side),Ich bringe den Müll raus.,I take the trash out.
e03-l1,Mülleimer,waste bin,Der Mülleimer ist voll.,The waste bin is full.
e03-l1,Chaos,chaos,Das Zimmer ist voller Chaos.,The room is full of chaos.
e03-l1,Bügeleisen,iron (for clothing),"Ich benutze das Bügeleisen, um meine Kleidung zu bügeln.",I use the iron to iron my clothes.
e03-l1,Staub,dust,Der Staub liegt auf dem Tisch.,The dust is on the table.
